1,1,"Attachment Application Form",attachment-application-form,"Application form and information for industrial attachment placement.",2026-08-28T08:27:44.189Z
2,1,"Attachment Requirements",attachment-requirements,"Requirements and prerequisites for attachment placement.",2026-08-28T08:27:44.189Z
3,1,"Industrial Attachment Guide",industrial-attachment-guide,"Comprehensive guidelines for industrial attachment.",2026-08-28T08:27:44.189Z
4,1,"Internship Application Guide",internship-application-guide,"Step-by-step guidance for internship application.",2026-08-28T08:27:44.189Z
5,1,"Student Logbook Guide",student-logbook-guide,"Guide for completing student industrial logbooks.",2026-08-28T08:27:44.189Z
6,1,"Workplace Readiness Guide",workplace-readiness-guide,"Resources and guides for workplace readiness.",2026-08-28T08:27:44.189Z
7,1,"Attachment Interview Preparation Guide",attachment-interview-preparation-guide,"Preparation guide for industrial attachment interviews.",2026-08-28T08:27:44.189Z
8,1,"Attachment Placement Guide",attachment-placement-guide,"Information and processes for attachment placement.",2026-08-28T08:27:44.189Z
9,1,"Student Attachment Checklist",student-attachment-checklist,"Checklist for students commencing attachment.",2026-08-28T08:27:44.189Z
10,1,"Supervisor Assessment Guide",supervisor-assessment-guide,"Evaluation and assessment guide for field supervisors.",2026-08-28T08:27:44.189Z
11,2,"CV Writing Guide",cv-writing-guide,"Practical guide to writing professional resumes and CVs.",2026-08-28T08:27:44.189Z
12,2,"Cover Letter Writing Guide",cover-letter-writing-guide,"Guidelines for crafting compelling cover letters.",2026-08-28T08:27:44.189Z
13,2,"Interview Preparation Guide",interview-preparation-guide,"Comprehensive preparation strategies for job interviews.",2026-08-28T08:27:44.189Z
14,2,"Career Readiness Guide",career-readiness-guide,"Guide to preparing for employment and professional careers.",2026-08-28T08:27:44.189Z
15,2,"Professional Ethics Guide",professional-ethics-guide,"Standards and guidelines for workplace professional ethics.",2026-08-28T08:27:44.189Z
16,2,"Workplace Communication Guide",workplace-communication-guide,"Best practices for effective workplace communication.",2026-08-28T08:27:44.189Z
17,2,"Time Management Guide",time-management-guide,"Strategies and techniques for effective time management.",2026-08-28T08:27:44.189Z
18,2,"Teamwork & Collaboration Guide",teamwork-collaboration-guide,"Principles of effective teamwork and workplace collaboration.",2026-08-28T08:27:44.189Z
19,2,"Personal Branding Guide",personal-branding-guide,"Guide to establishing and managing a professional personal brand.",2026-08-28T08:27:44.189Z
